plone:plone,CWE-94,0.0909091
plone:plone,CWE-20,0.0909091
opera:opera_browser,CWE-79,0.0904977
apple:mac_os_x,CWE-264,0.0903491
mediawiki:mediawiki,CWE-200,0.0902256
mediawiki:mediawiki,CWE-352,0.0902256
redhat:enterprise_linux_desktop,CWE-119,0.0900901
sun:opensolaris,CWE-264,0.09
microsoft:.net_framework,CWE-119,0.09
microsoft:.net_framework,CWE-200,0.09
microsoft:sql_server,CWE-189,0.0897436
linux:linux_kernel,CWE-20,0.0892989
microsoft:windows_server_2012,CWE-200,0.0892857
cloudbees:jenkins,CWE-352,0.0892857
phpmyadmin:phpmyadmin,CWE-200,0.0892857
microsoft:office_compatibility_pack,CWE-20,0.0884956
qemu:qemu,CWE-189,0.0882353
qemu:qemu,CWE-264,0.0882353
qemu:qemu,CWE-399,0.0882353
digium:asterisk,CWE-264,0.0882353
e107:e107,CWE-352,0.0877193
tor:tor,CWE-119,0.0877193
ibm:lotus_notes,CWE-264,0.0869565
microsoft:windows_server_2003,CWE-362,0.0869565
microsoft:word_viewer,CWE-189,0.0862069
typo3:typo3,CWE-89,0.0860215
opera:opera_browser,CWE-200,0.0859729
microsoft:windows_rt_8.1,CWE-94,0.0858586
microsoft:windows_server_2012,CWE-94,0.0857143
microsoft:word,CWE-399,0.0854701
microsoft:sharepoint_server,CWE-20,0.0853659
adobe:shockwave_player,CWE-189,0.0853659
microsoft:windows_2000,CWE-20,0.0853175
cisco:adaptive_security_appliance_software,CWE-287,0.0852713
ibm:websphere_portal,CWE-200,0.0851064
fedoraproject:fedora,CWE-200,0.0847458
microsoft:windows_2003_server,CWE-264,0.0842825
microsoft:windows_8.1,CWE-119,0.0840708
mozilla:bugzilla,CWE-200,0.0839161
apache:tomcat,CWE-79,0.0833333
ibm:db2,CWE-399,0.0825688
vmware:workstation,CWE-399,0.0825688
canonical:ubuntu_linux,CWE-399,0.0820669
mybulletinboard:mybulletinboard,CWE-89,0.0819672
microsoft:windows_98se,CWE-119,0.0819672
owncloud:owncloud,CWE-352,0.0818182
cisco:adaptive_security_appliance,CWE-79,0.0816327
google:chrome_os,CWE-264,0.0816327
google:chrome_os,CWE-399,0.0816327
tiki:tikiwiki_cms%2fgroupware,CWE-22,0.0816327
samba:samba,CWE-20,0.0808081
apple:iphone_os,CWE-399,0.0805134
php:php,CWE-189,0.0803783
vmware:esxi,CWE-399,0.08
novell:opensuse,CWE-264,0.0798319
microsoft:windows_8.1,CWE-94,0.079646
gnu:glibc,CWE-399,0.0793651
adobe:shockwave_player,CWE-20,0.0792683
cisco:unified_communications_manager,CWE-79,0.0791367
canonical:ubuntu_linux,CWE-20,0.0790274
joomla:joomla%21,CWE-20,0.0789474
joomla:joomla%21,CWE-264,0.0789474
hp:system_management_homepage,CWE-20,0.0784314
linux:linux_kernel,CWE-200,0.0774908
microsoft:windows_xp,CWE-264,0.0773481
sun:jdk,CWE-264,0.0771144
cisco:5500_series_adaptive_security_appliance,CWE-287,0.0769231
mybb:mybb,CWE-352,0.0769231
microsoft:outlook,CWE-119,0.0769231
cisco:unified_computing_system,CWE-310,0.0769231
cisco:unified_computing_system,CWE-78,0.0769231
mybb:mybb,CWE-200,0.0769231
sun:jre,CWE-264,0.0763889
apple:iphone_os,CWE-20,0.075846
pidgin:pidgin,CWE-189,0.0757576
clam_anti-virus:clamav,CWE-119,0.0757576
opera_software:opera_web_browser,CWE-119,0.0757576
apache:tomcat,CWE-20,0.0757576
squirrelmail:squirrelmail,CWE-94,0.0754717
joomla:joomla,CWE-264,0.0752688
typo3:typo3,CWE-264,0.0752688
typo3:typo3,CWE-200,0.0752688
linux:linux_kernel,CWE-189,0.0745387
adobe:acrobat,CWE-20,0.0744467
adobe:acrobat,CWE-264,0.0744467
redhat:enterprise_linux,CWE-119,0.0740741
apache:http_server,CWE-79,0.0740741
adobe:acrobat_reader,CWE-264,0.0740741
sap:netweaver,CWE-22,0.0740741
sap:netweaver,CWE-200,0.0740741
google:android,CWE-189,0.0740741
sap:netweaver,CWE-20,0.0740741
apple:watchos,CWE-20,0.0740741
sap:netweaver,CWE-264,0.0740741
sap:netweaver,CWE-89,0.0740741
juniper:junos,CWE-264,0.0735294
ibm:db2,CWE-200,0.0733945
realnetworks:realplayer_sp,CWE-189,0.0731707
canonical:ubuntu_linux,CWE-189,0.0729483
plone:plone,CWE-399,0.0727273
redhat:jboss_enterprise_application_platform,CWE-310,0.0724638
postgresql:postgresql,CWE-119,0.0722892
microsoft:windows,CWE-200,0.0722892
adobe:acrobat_reader_dc,CWE-254,0.072
adobe:acrobat_dc,CWE-254,0.072
cloudbees:jenkins,CWE-20,0.0714286
rubyonrails:ruby_on_rails,CWE-22,0.0714286
cloudbees:jenkins,CWE-22,0.0714286
adobe:coldfusion,CWE-200,0.0714286
microsoft:office_compatibility_pack,CWE-399,0.0707965
microsoft:windows_rt_8.1,CWE-119,0.0707071
mozilla:thunderbird_esr,CWE-79,0.0707071
microsoft:windows_7,CWE-362,0.070632
apple:safari,CWE-79,0.0703812
tor:tor,CWE-399,0.0701754
symantec:norton_antivirus,CWE-119,0.0701754
tor:tor,CWE-264,0.0701754
drupal:drupal,CWE-352,0.0699301
freebsd:freebsd,CWE-264,0.0698413
microsoft:excel_viewer,CWE-20,0.0697674
microsoft:windows_2000,CWE-119,0.0694444
xen:xen,CWE-200,0.0693642
microsoft:word_viewer,CWE-399,0.0689655
apache:tomcat,CWE-22,0.0681818
fedoraproject:fedora,CWE-399,0.0677966
apple:mac_os_x,CWE-20,0.0677618
mediawiki:mediawiki,CWE-264,0.0676692
adobe:flash_player_for_android,CWE-399,0.0675676
apple:apple_tv,CWE-200,0.0675676
apple:safari,CWE-200,0.0674487
php:php,CWE-264,0.0661939
adobe:flash_player,CWE-264,0.0655308
microsoft:windows_2000,CWE-94,0.0654762
google:android,CWE-20,0.0648148
cisco:unified_communications_manager,CWE-287,0.0647482
microsoft:windows_vista,CWE-362,0.0647149
apple:quicktime,CWE-399,0.0645161
apple:mac_os_x,CWE-200,0.0643395
redhat:enterprise_linux,CWE-399,0.0639731
microsoft:windows_2003_server,CWE-94,0.0637813
owncloud:owncloud,CWE-20,0.0636364
gnu:glibc,CWE-20,0.0634921
apple:mac_os_x_server,CWE-189,0.0633914
mozilla:seamonkey,CWE-79,0.0633094
drupal:drupal,CWE-20,0.0629371
ibm:websphere_application_server,CWE-20,0.0627306
hp:openview_network_node_manager,CWE-399,0.0625
mozilla:seamonkey,CWE-20,0.0618705
openbsd:openssh,CWE-200,0.0617284
tiki:tikiwiki_cms%2fgroupware,CWE-94,0.0612245
cisco:adaptive_security_appliance,CWE-399,0.0612245
microsoft:sharepoint_server,CWE-264,0.0609756
adobe:acrobat_reader,CWE-20,0.0604288
microsoft:windows,CWE-264,0.060241
apple:safari,CWE-20,0.0601173
openssl:openssl,CWE-20,0.06
sun:opensolaris,CWE-362,0.06
vmware:esxi,CWE-22,0.06
microsoft:windows_server_2008,CWE-362,0.0598802
microsoft:windows_10,CWE-119,0.0595238
microsoft:windows_98,CWE-119,0.0595238
microsoft:windows_8,CWE-399,0.0590551
vmware:player,CWE-20,0.0588235
microsoft:ie,CWE-399,0.0588235
digium:asterisk,CWE-200,0.0588235
hp:system_management_homepage,CWE-264,0.0588235
puppetlabs:puppet,CWE-59,0.0588235
qemu:qemu,CWE-20,0.0588235
microsoft:excel_viewer,CWE-189,0.0581395
cisco:ios_xr,CWE-119,0.057971
ibm:lotus_notes,CWE-94,0.057971
mybb:mybb,CWE-264,0.0576923
microsoft:windows_media_player,CWE-189,0.0576923
cisco:unified_computing_system,CWE-200,0.0576923
cisco:asa_5500,CWE-287,0.0576923
cisco:unified_computing_system,CWE-119,0.0576923
cisco:unified_communications_manager,CWE-200,0.057554
redhat:enterprise_linux,CWE-189,0.0572391
novell:groupwise,CWE-189,0.0571429
ibm:smartcloud_control_desk,CWE-284,0.0566038
squirrelmail:squirrelmail,CWE-352,0.0566038
moodle:moodle,CWE-352,0.0562914
realnetworks:realplayer,CWE-189,0.05625
drupal:drupal,CWE-200,0.0559441
vmware:server,CWE-20,0.0555556
vmware:server,CWE-79,0.0555556
vmware:server,CWE-134,0.0555556
mantisbt:mantisbt,CWE-284,0.0555556
vmware:workstation,CWE-20,0.0550459
novell:opensuse,CWE-200,0.0546218
novell:opensuse,CWE-59,0.0546218
adobe:air_sdk_%5c%26_compiler,CWE-189,0.0545455
apple:webkit,CWE-264,0.0545455
apple:webkit,CWE-79,0.0545455
php:php,CWE-399,0.0543735
adobe:flash_player_for_android,CWE-189,0.0540541
redhat:enterprise_linux_desktop,CWE-399,0.0540541
wordpress:wordpress,CWE-352,0.0539216
wordpress:wordpress,CWE-20,0.0539216
microsoft:windows_xp,CWE-362,0.0538674
typo3:typo3,CWE-94,0.0537634
typo3:typo3,CWE-287,0.0537634
phpmyadmin:phpmyadmin,CWE-20,0.0535714
mandrakesoft:mandrake_linux_corporate_server,CWE-399,0.0535714
sun:jre,CWE-119,0.0532407
isc:bind,CWE-264,0.0531915
microsoft:office_compatibility_pack,CWE-189,0.0530973
apache:http_server,CWE-20,0.0529101
mediawiki:mediawiki,CWE-20,0.0526316
tor:tor,CWE-20,0.0526316
microsoft:internet_explorer,CWE-264,0.0525588
microsoft:ie,CWE-200,0.0524642
mozilla:firefox,CWE-20,0.0521292
microsoft:windows_7,CWE-200,0.0520446
microsoft:windows_me,CWE-119,0.0517241
canonical:ubuntu_linux,CWE-200,0.0516717
mozilla:firefox,CWE-200,0.051395
apple:safari,CWE-264,0.0513196
microsoft:sql_server,CWE-94,0.0512821
microsoft:internet_explorer,CWE-94,0.0511757
microsoft:ie,CWE-119,0.0508744
mit:kerberos,CWE-264,0.0508475
adobe:acrobat_reader,CWE-94,0.0506823
novell:opensuse,CWE-399,0.0504202
adobe:adobe_air,CWE-189,0.0502513
realnetworks:realplayer,CWE-20,0.05
microsoft:internet_explorer,CWE-200,0.0497925
apple:apple_tv,CWE-264,0.0495495
openbsd:openssh,CWE-287,0.0493827
cisco:nx-os,CWE-287,0.0493827
openbsd:openssh,CWE-399,0.0493827
sun:solaris,CWE-399,0.0493359
google:chrome,CWE-189,0.0493129
apple:mac_os_x_server,CWE-20,0.0491284
wordpress:wordpress,CWE-89,0.0490196
wordpress:wordpress,CWE-200,0.0490196
mozilla:seamonkey,CWE-200,0.0489209
microsoft:exchange_server,CWE-20,0.0487805
microsoft:sharepoint_server,CWE-399,0.0487805
realnetworks:realplayer_sp,CWE-20,0.0487805
realnetworks:realplayer_sp,CWE-399,0.0487805
mozilla:firefox,CWE-79,0.0484581
microsoft:windows_server_2003,CWE-189,0.0483092
cisco:ios,CWE-119,0.0480769
ibm:websphere_application_server,CWE-310,0.0479705
ibm:websphere_application_server,CWE-399,0.0479705
gnu:glibc,CWE-17,0.047619
microsoft:windows_10,CWE-200,0.047619
sun:jdk,CWE-119,0.0472637
redhat:enterprise_linux,CWE-20,0.047138
vmware:player,CWE-134,0.0470588
ibm:lotus_domino,CWE-287,0.0470588
adobe:air_sdk_%26_compiler,CWE-200,0.0469314
openssl:openssl,CWE-189,0.0466667
openssl:openssl,CWE-200,0.0466667
cisco:adaptive_security_appliance_software,CWE-200,0.0465116
microsoft:windows_server_2008,CWE-189,0.0464072
microsoft:windows_server_2008,CWE-200,0.0464072
adobe:acrobat,CWE-200,0.0462777
adobe:acrobat,CWE-94,0.0462777
xen:xen,CWE-17,0.0462428
netbsd:netbsd,CWE-189,0.0460526
apple:mac_os_x_server,CWE-399,0.0459588
debian:debian_linux,CWE-264,0.0457143
mozilla:thunderbird,CWE-79,0.0456491
microsoft:office,CWE-189,0.045584
clam_anti-virus:clamav,CWE-20,0.0454545
trustix:secure_linux,CWE-399,0.0454545
owncloud:owncloud,CWE-22,0.0454545
owncloud:owncloud,CWE-94,0.0454545
pidgin:pidgin,CWE-310,0.0454545
opera_software:opera_web_browser,CWE-79,0.0454545
kde:kde,CWE-119,0.0454545
opera:opera_browser,CWE-119,0.0452489
opera:opera_browser,CWE-310,0.0452489
adobe:adobe_air,CWE-94,0.0452261
mediawiki:mediawiki,CWE-399,0.0451128
ibm:maximo_asset_management,CWE-284,0.0449438
php:php,CWE-200,0.0449173
adobe:acrobat_reader,CWE-200,0.0448343
microsoft:windows_nt,CWE-119,0.0447154
microsoft:windows_vista,CWE-200,0.0446841
apple:mac_os_x,CWE-189,0.0444901
freebsd:freebsd,CWE-119,0.0444444
adobe:acrobat,CWE-399,0.0442656
microsoft:internet_explorer,CWE-20,0.04426
microsoft:windows_8.1,CWE-399,0.0442478
mozilla:thunderbird,CWE-20,0.0442225
