cisco:telepresence_te_software,17
condor_project:condor,17
digia:qt,17
emc:rsa_archer_egrc,17
eucalyptus:eucalyptus,17
f-prot:f-prot_antivirus,17
f5:big-ip_global_traffic_manager,17
f5:big-ip_link_controller,17
hp:sitescope,17
ibm:cognos_business_intelligence,17
ibm:rational_quality_manager,17
irfanview:irfanview,17
libreoffice:libreoffice,17
mandrakesoft:mandrake_multi_network_firewall,17
mcafee:email_gateway,17
microsoft:office_powerpoint_viewer,17
microsoft:vbscript,17
monkey-project:monkey_http_daemon,17
netwin:surgemail,17
novell:netmail,17
novell:netware_ftp_server,17
oracle:application_server_10g,17
perl:perl,17
piwik:piwik,17
sun:openjdk,17
symantec:mail_security,17
x.org:xorg-server,17
xmb_forum:xmb,17
apache:cxf,16
apple:quicktime_streaming_server,16
atlassian:jira,16
avaya:modular_messaging_message_storage_server,16
ca:etrust_intrusion_detection,16
cisco:4400_wireless_lan_controller,16
cisco:unified_presence_server,16
clearswift:mailsweeper,16
cogentdatahub:cogent_datahub,16
f5:big-ip_advanced_firewall_manager,16
f5:big-ip_edge_gateway,16
ibm:rational_clearcase,16
ibm:rational_doors_next_generation,16
invensys:wonderware_information_server,16
linksys:wrt54g,16
microsoft:forefront_client_security,16
microsoft:office_powerpoint,16
microsoft:site_server,16
novell:client,16
openoffice:openoffice.org,16
openstack:horizon,16
openswan:openswan,16
opera:opera,16
parallels:parallels_plesk_small_business_panel,16
photopost:photopost_php_pro,16
phpgedview:phpgedview,16
phpnuke:php-nuke,16
roundcube:webmail,16
smartertools:smarterstats,16
torrentflux:torrentflux,16
turbolinux:turbolinux,16
university_of_washington:pine,16
zyxel:zynos,16
apache:activemq,15
auracms:auracms,15
avaya:communication_manager,15
bitcoin:bitcoin-qt,15
ca:etrust_secure_content_manager,15
cisco:nexus_7000,15
cisco:prime_infrastructure,15
cisco:vpn_3002_hardware_client,15
cisco:webex_training_center,15
coinsoft_technologies:phpcoin,15
comodo:comodo_internet_security,15
coppermine-gallery:coppermine_photo_gallery,15
debian:apt,15
dokeos:dokeos,15
emc:networker,15
f5:big-ip_application_acceleration_manager,15
